"Обнаружение лесного пожара, дата","Обнаружение лесного пожара, время","Географические координаты места обнаружения пожара, наименование","Географические координаты места обнаружения пожара, азимут, гра-дусы","Широта (градусы, минуты, секунды)","Долгота (градусы, минуты, секунды)","Скорость ветра в районе пожара, в момент обнару-жения, м/с","Площадь пожара, га (в момент обна­ ружения)","Площадь пожара, га (всего)","Площадь пожара, га (лесная)","Площадь пожара, га (покрытая лесной раститель- ностью)",Причина
04.10.2016,11:00:00,д Подгородка,40,55.14944444444444,73.54972222222223,3.0,0.05,0.1,0.1,0.1,с иных категорий
04.10.2016,11:30:00,д Михеевка,247,55.15833333333333,74.1975,4.0,1.5,12.1,12.1,12.1,с иных категорий
04.10.2016,14:00:00,д Королевка,304,55.40638888888889,73.66416666666667,4.0,6,9.1,9.1,7.6,с иных категорий
04.10.2016,16:00:00,с Новоселье,107,54.885555555555555,74.1025,4.0,1,2,2,2,с иных категорий
05.10.2016,15:00:00,с Михайловка,107,54.75944444444445,74.27222222222223,4.0,2.6,12.1,12.1,0,с иных категорий
18.04.2016,14:00:00,д Увальная Бития,339,55.50805555555556,73.335,0.0,3,7.2,7.2,7.2,с иных категорий
19.04.2016,15:00:00,аул Каразюк,70,54.07972222222222,74.595,6.0,1.5,2.4,2.4,2.4,мн
26.04.2016,16:20:00,д Богдановка,320,54.119166666666665,74.73861111111111,6.0,1.5,1.5,1.5,1.5,с иных категорий
03.05.2016,00:30:00,с Пристанское,90,54.4725,74.25833333333334,2.0,10,15.2,15.2,15.2,с иных категорий
04.05.2016,18:00:00,д Нетесово,215,54.28638888888889,74.47444444444444,3.0,5.5,9.8,9.8,9.8,с иных категорий
10.05.2016,14:20:00,с Сосновское,287,54.59305555555556,73.19027777777778,8.0,1.5,3.7,3.7,3.7,с иных категорий
19.05.2016,09:50:00,д Гончаровка,243,54.44777777777778,73.73638888888888,3.0,3,7.4,7.4,7.4,линейные объекты
12.05.2016,17:00:00,с Милоградовка,193,54.03805555555556,73.63666666666667,5.0,4.8,8.1,8.1,8.1,с иных категорий
